TRACT,GEOID,TOTPOP,WHT_PCT,HOUSVCNY_PCT,SQMILES,OI_ALLCOMP-LEV,OI_EDCOMP-LEV,OI_HECOMP-LEV,OI_NBCOMP-LEV,OI_ALLCOMP,OI_EDCOMP,OI_HECOMP,OI_NBCOMP,CNPY_MEAN,CNPY_STD,CNPY_VRTY,CNPY_MED,IMPSRF_MEAN,IMPSRF_STD,IMPSRF_VRTY,IMPSRF_MED
11.10,39049001110,3688,0.809924078,3.711340206,0.20643678,Moderate,Moderate,High,High,0.099864,-0.172821,0.189457,0.282958,17.8487395,18.54526085,72,12,51.76806723,29.31131061,95,56
10,39049001000,5830,0.896054889,6.114398422,0.34509794,High,Moderate,Moderate,Very High,0.145981,-0.004551,-0.030025,0.47252,16.36746988,8.657558507,54,15,59.28385155,14.03880101,79,58
9.20,39049000920,2069,0.208313195,26.44003777,0.35351147,Very Low,Low,Very Low,Very Low,-0.706645,-0.368175,-0.650707,-1.101052,15.75171737,8.546483446,48,14,50.27815867,21.01109736,100,49
9.10,39049000910,3409,0.236726313,20.58449809,0.49668853,Very Low,Very Low,Very Low,Very Low,-0.806768,-0.823476,-0.510398,-1.08643,14.80451658,7.560942758,47,14,47.24895397,16.10530469,96,48
8.20,39049000820,3121,0.479333547,14.87979207,0.55904125,Very Low,Very Low,Very Low,Very Low,-0.58605,-0.786822,-0.301858,-0.669468,17.78358209,12.83691928,74,16,49.38781852,21.2270276,101,49
3.10,39049000310,3147,0.678423896,11.27482383,0.71583456,Moderate,Moderate,Moderate,Low,-0.112872,-0.039012,-0.06715,-0.232454,14.7423283,12.0001764,74,12,49.78442822,23.50778203,100,50
2.20,39049000220,3727,0.948752348,2.376708259,0.75108444,Very High,High,Very High,Very High,0.574154,0.540453,0.47108,0.71093,25.26875288,16.93199968,90,23,46.51433858,22.93220971,101,45
2.10,39049000210,2935,0.944804089,3.948264125,0.66188961,High,High,High,Very High,0.377906,0.300645,0.238615,0.594458,37.98894737,25.63298418,93,27,31.49212185,21.98373494,98,35
1.20,39049000120,3162,0.953826692,3.341740227,1.11188318,Very High,High,Very High,Very High,0.432938,0.419879,0.326722,0.552214,29.66499687,21.41242702,91,23,32.76148796,24.08510372,101,35
94.10,39049009410,2874,0.651009047,6.018518519,0.49844213,Low,Very Low,High,Very Low,-0.370436,-0.807139,0.244313,-0.548482,15.31542219,12.19295408,69,14,37.05080028,20.45048149,94,40
94.20,39049009420,5793,0.712238909,13.54679803,1.58245205,Low,Low,Moderate,Very Low,-0.241874,-0.208909,-0.008108,-0.508604,23.31702501,21.49475123,92,16,27.24565648,24.23124884,100,29
95.90,39049009590,4732,0.910819949,6.738809641,18.38047539,Moderate,Low,Moderate,Low,-0.121613,-0.328954,0.091778,-0.127664,13.63074916,19.83923573,93,5,13.20986278,25.85629824,101,0
94.40,39049009440,4385,0.843329532,9.734042553,3.48903082,Low,Low,Low,Moderate,-0.208731,-0.51226,-0.19513,0.081196,11.33446249,16.76450836,92,5,17.78852475,24.41697092,101,3
8.10,39049000810,2540,0.63976378,9.965034965,0.38390513,Low,Very Low,Low,Low,-0.323012,-0.666409,-0.218798,-0.083828,16.79014599,9.00079749,49,16,44.36832579,15.22397167,87,46
7.30,39049000730,3090,0.057928803,28.65497076,0.40266651,Very Low,Moderate,Very Low,Very Low,-0.561019,-0.034964,-0.852475,-0.795618,13.05584192,6.198420863,37,12,54.59741379,12.66678361,73,52
7.20,39049000720,2384,0.249161074,19.05579399,0.84454717,Very Low,Very Low,Very Low,Very Low,-0.603826,-0.749278,-0.377102,-0.685098,8.281713344,7.6126712,49,6,55.43392343,24.76965637,100,52
7.10,39049000710,3102,0.640554481,13.44086022,0.50583738,Very Low,Very Low,Low,Very Low,-0.599135,-0.828,-0.298028,-0.671376,13.44436906,7.575756621,50,12,51.36714976,18.83037274,99,50
6,39049000600,3780,0.861111111,9.600389864,0.37894268,Moderate,Low,High,High,0.084456,-0.339789,0.140432,0.452724,19.45387454,18.16805248,81,13,56.30904059,22.53892638,90,58
